"RAL 8028",81,58,42,#513A2A,"Terra brown"
"RAL 8029",127,64,49,#7F4031,"Pearl copper"
"RAL 9001",233,224,210,#E9E0D2,Cream
"RAL 9002",214,213,203,#D6D5CB,"Grey white"
"RAL 9003",236,236,231,#ECECE7,"Signal white"
"RAL 9004",43,43,44,#2B2B2C,"Signal black"
"RAL 9005",14,14,16,#0E0E10,"Jet black"
"RAL 9006",161,161,160,#A1A1A0,"White aluminium"
"RAL 9007",134,133,129,#868581,"Grey aluminium"
"RAL 9010",241,237,225,#F1EDE1,"Pure white"
"RAL 9011",39,41,43,#27292B,"Graphite black"
"RAL 9012",248,242,225,#F8F2E1,"Cleanroom white"
"RAL 9016",241,241,234,#F1F1EA,"Traffic white"
"RAL 9017",41,41,42,#29292A,"Traffic black"
"RAL 9018",200,203,196,#C8CBC4,"Papyrus white"
"RAL 9022",133,133,131,#858583,"Pearl light grey"
"RAL 9023",120,123,122,#787B7A,"Pearl dark grey"
